Organism,Group1,Group2,Group3,Mean
Ephemeroptera,0,0.011,0,
Trichoptera,0.00079,0.0045,0.0116,
Plecoptera,0,0,0.00105,
Megaloptera,0,0,0,
Diptera,0,0.0022,0,
Acarina,0,0.0067,0,
Coleoptera,0.0596,0.061,0.0652,
Odonata,0,0,0,
Hemiptera,0,0,0,
Annelida.hirudinea,0,0,0.00421,
Annelida.oligochaeta,0,0,0,
Porifera,0.00397,0.0022,0,
Mollusca.clam,0.00079,0.0045,0,
Mollusca.snail,0,0.0067,0,
Mollusca.limpet,0,0.0022,0,
Platyhelminthes,0.06439,0.0022,0.0242,
Cnidaria,0,0,0,
Crustacea,0,0.0022,0.00316,
