Year ,Wolf abundance,Elk Abundance ,% Aspen browsed ,Mean aspen height (cm)
1993,,2315032.397,,
1994,,2516272.044,,
1995,320.9784935,2023857.703,,
1996,154.1423755,,,
1997,264.8237975,,,
1998,567.1006666,1233237.609,92.645083,30000
1999,293.5841258,1233237.609,86.83860062,32000
2000,1263.777825,1656502.339,85.16984588,42000
2001,527.6268631,1482228.053,33.24413885,48000
2002,1174.557637,1314534.138,33.1850878,62000
2003,536.0799751,853814.9682,53.56558538,80000
2004,829.9587099,715541.7528,38.9139811,125000
2005,453.2920602,889636.5129,0.401616447,175000
2006,414.5572376,524046.7536,5.873584691,220000
2007,888.114542,554569.0895,,
2008,30.08664599,494105.8844,,
2009,436.6568918,524046.7536,,
2010,455.4572872,464758.0015,0.678056784,335000
